VIN (1-10),City,Model Year,Make,Model,Electric_Vehicle_Type,CAFV_Eligibility,Electric_Range,Base_MSRP,Electric Utility
7PDSGABA6P,Seattle,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
WA1F2AFY0M,Silverdale,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18.0,0.0,PUGET SOUND ENERGY INC
7SAYGDEE2P,Bellevue,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJYGDEE2M,Seattle,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
JTDACACU2P,Vancouver,2023,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
5YJ3E1EA9J,Kirkland,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCDE24J,Kirkland,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDCR3L11R,Redmond,2024,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJYGDEE7L,Bellevue,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1C4RJXN60R,Yelm,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,0.0,PUGET SOUND ENERGY INC
JTMEB3FV3N,Renton,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FY6S02L,Port Townsend,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
1N4AZ0CP1D,Seattle,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
